Timestamp,"Type of Mobile Plan
Jenis Pelan Mudah Alih","Are you satisfied with your current type of mobile plan? (Postpaid/Prepaid)
Adakah anda berpuas hati dengan jenis pelan mudah alih anda? (Pascabayar/Prabayar)","Age
Umur
e.g: 22","Gender
Jantina","Occupation
Pekerjaan","Income (RM)
Pendapatan (RM)
e.g: 5000","Education Level
Tahap Pendidikan","Marital Status
Status Perkahwinan","Number of dependents (person)
Bilangan tanggungan (orang)
e.g: 5","Location
Tempat tinggal","Average Monthly Data Usage (GB)
Purata Penggunaan Data Bulanan (GB)
e.g: 20","Do you often play games (e.g. Mobile Legends, Genshin Impact) ?
Adakah anda sering bermain permainan (e.g. Mobile Legends) ?","Do you often stream? (e.g. Youtube, Netflix)
Adakah anda sering melayari penstriman?  (e.g. Youtube, Netflix)","Do you often use social media? (e.g. TikTok, Instagram)
Adakah anda sering menggunakan media sosial?  (e.g. TikTok, Instagram)","Average Daily Time Spent On Mobile Device (Hours)
Purata Masa Harian Menggunakan Telefon Bimbit (Jam)
e.g: 2","Hotspot Usage
Penggunaan Hotspot","Current Mobile Service Provider
Penyedia Perkhidmatan Mudah Alih","Number of years with current telco
Jumlah tahun dengan telco sekarang
e.g: 3","Monthly expenses on mobile plan (RM)
Perbelanjaan bulanan untuk pelan mudah alih (RM)
e.g: 50","Number of SIM cards owned
Bilangan kad SIM yang dimiliki
e.g: 2","Number of device owned (Laptops, phones, tablets)
Jumlah peranti yang dimiliki (Komputer riba, telefon bimbit, tablet)
e.g: 3","Number of lines in household
Jumlah talian mudah alih dalam isi rumah
e.g: 4","Do you have a smartphone under contract?
Adakah anda mempunyai telefon pintar di bawah kontrak?","Do you have Wi-Fi at home?
Adakah anda mempunyai Wi-Fi di rumah?",Column 25
5/18/2025 21:34:22,Prepaid,Yes / Ya,24,Male / Lelaki,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,10,Yes / Ya,Yes / Ya,Yes / Ya,6,Sometimes / Kadang Kala,U Mobile,2,25,1,2,6,No / Tidak,Yes / Ya,
5/18/2025 21:40:52,Prepaid,Yes / Ya,22,Male / Lelaki,Student / Pelajar,1100,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Rural / Luar bandar,20,Yes / Ya,Yes / Ya,Yes / Ya,8,Sometimes / Kadang Kala,Maxis,7,40,1,3,2,Yes / Ya,Yes / Ya,
5/18/2025 23:29:07,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/18/2025 23:42:45,Prepaid,Yes / Ya,22,Female / Perempuan,Student / Pelajar,0,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Urban / Bandar,30,Yes / Ya,Yes / Ya,Yes / Ya,17,Sometimes / Kadang Kala,Unifi Mobile,6,35,1,3,1,No / Tidak,Yes / Ya,
5/18/2025 23:43:18,Prepaid,Yes / Ya,25,Female / Perempuan,Student / Pelajar,1000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,1,Urban / Bandar,50,Yes / Ya,Yes / Ya,Yes / Ya,6,Sometimes / Kadang Kala,U Mobile,4,40,1,3,6,No / Tidak,Yes / Ya,
5/18/2025 23:43:49,Postpaid,Yes / Ya,24,Female / Perempuan,Employed / Bekerja,4000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,100,Yes / Ya,Yes / Ya,Yes / Ya,6,Sometimes / Kadang Kala,Maxis,10,38,2,5,6,No / Tidak,Yes / Ya,
5/18/2025 23:43:51,Prepaid,Yes / Ya,27,Female / Perempuan,Employed / Bekerja,4000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,1,Urban / Bandar,25,No / Tidak,Yes / Ya,Yes / Ya,8,Rarely / Jarang,CelcomDigi,4,60,1,3,7,Yes / Ya,Yes / Ya,
5/18/2025 23:43:54,Prepaid,Yes / Ya,20,Female / Perempuan,Student / Pelajar,-,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,-,Urban / Bandar,80,No / Tidak,No / Tidak,Yes / Ya,5,Sometimes / Kadang Kala,CelcomDigi,2,50,2,2,4,No / Tidak,Yes / Ya,
5/18/2025 23:44:05,Postpaid,Yes / Ya,26,Male / Lelaki,Employed / Bekerja,1700,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Urban / Bandar,100,Yes / Ya,Yes / Ya,Yes / Ya,4,Rarely / Jarang,CelcomDigi,7,35,1,1,7,No / Tidak,Yes / Ya,
5/18/2025 23:44:49,Prepaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/18/2025 23:45:12,Postpaid,Yes / Ya,24,Male / Lelaki,Student / Pelajar,1200,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,50,No / Tidak,Yes / Ya,Yes / Ya,9,Rarely / Jarang,Unifi Mobile,6,35,1,3,1,Yes / Ya,Yes / Ya,
5/18/2025 23:47:25,Prepaid,Yes / Ya,23,Male / Lelaki,Student / Pelajar,4000,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,45,No / Tidak,Yes / Ya,Yes / Ya,12,Rarely / Jarang,CelcomDigi,10,25,1,5,3,No / Tidak,Yes / Ya,
5/18/2025 23:47:53,Postpaid,Yes / Ya,23,Female / Perempuan,Employed / Bekerja,1500,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,0,Urban / Bandar,30,No / Tidak,Yes / Ya,Yes / Ya,3,Rarely / Jarang,Maxis,3,228,1,2,2,Yes / Ya,Yes / Ya,
5/18/2025 23:48:16,Prepaid,Yes / Ya,23,Female / Perempuan,Student / Pelajar,430,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Sub-urban / Pinggir bandar,45,No / Tidak,No / Tidak,Yes / Ya,5,Often / Selalu,CelcomDigi,7,45,1,3,6,No / Tidak,No / Tidak,
5/18/2025 23:51:58,Prepaid,Yes / Ya,23,Male / Lelaki,Student / Pelajar,300,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,15,Yes / Ya,No / Tidak,No / Tidak,2,Rarely / Jarang,CelcomDigi,6,35,1,2,2,No / Tidak,Yes / Ya,
5/18/2025 23:53:26,Prepaid,Yes / Ya,22,Male / Lelaki,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,10,Yes / Ya,Yes / Ya,Yes / Ya,6,Sometimes / Kadang Kala,Maxis,3,20,1,2,3,No / Tidak,Yes / Ya,
5/18/2025 23:57:57,Prepaid,Yes / Ya,23,Male / Lelaki,Student / Pelajar,800,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Urban / Bandar,30,Yes / Ya,Yes / Ya,Yes / Ya,15,Sometimes / Kadang Kala,CelcomDigi,7,35,1,3,6,No / Tidak,Yes / Ya,
5/19/2025 0:01:10,Prepaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/19/2025 0:09:05,Postpaid,Yes / Ya,38,Female / Perempuan,Employed / Bekerja,3700,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,5,Rural / Luar bandar,10,No / Tidak,Yes / Ya,Yes / Ya,1,Sometimes / Kadang Kala,CelcomDigi,2,75,1,2,2,Yes / Ya,Yes / Ya,
5/19/2025 0:09:39,Postpaid,Yes / Ya,48,Male / Lelaki,Employed / Bekerja,5000,Master's Degree / Ijazah Sarjana,Married / Berkahwin,6,Sub-urban / Pinggir bandar,120,No / Tidak,Yes / Ya,Yes / Ya,4,Sometimes / Kadang Kala,Unifi Mobile,5,90,2,7,6,No / Tidak,Yes / Ya,
5/19/2025 0:10:22,Prepaid,Yes / Ya,23,Male / Lelaki,Student / Pelajar,0,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,0,Rural / Luar bandar,25,No / Tidak,Yes / Ya,Yes / Ya,5,Rarely / Jarang,CelcomDigi,5,40,1,2,3,No / Tidak,No / Tidak,
5/19/2025 0:14:16,Postpaid,Yes / Ya,33,Female / Perempuan,Employed / Bekerja,2000,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Married / Berkahwin,3,Urban / Bandar,30,No / Tidak,No / Tidak,Yes / Ya,3,Rarely / Jarang,OneOnexox,1,50,1,1,2,No / Tidak,Yes / Ya,
5/19/2025 0:23:59,Postpaid,Yes / Ya,16,Female / Perempuan,Student / Pelajar,0,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Urban / Bandar,30,Yes / Ya,Yes / Ya,Yes / Ya,7,Sometimes / Kadang Kala,CelcomDigi,5,30,1,3,0,No / Tidak,No / Tidak,
5/19/2025 0:33:11,Prepaid,Yes / Ya,24,Female / Perempuan,Student / Pelajar,-,Bachelor's Degree / Ijazah Sarjana Muda,Single / Bujang,-,Urban / Bandar,10,No / Tidak,Yes / Ya,Yes / Ya,4,Rarely / Jarang,CelcomDigi,9,35,1,2,3,No / Tidak,Yes / Ya,
5/19/2025 0:34:52,Postpaid,Yes / Ya,17,Male / Lelaki,Unemployed / Tidak bekerja,0,High School / Sekolah Menengah / SPM / SVM / O-Level,Single / Bujang,0,Urban / Bandar,100,No / Tidak,Yes / Ya,Yes / Ya,4,Often / Selalu,CelcomDigi,6,45,1,3,7,Yes / Ya,No / Tidak,
5/19/2025 0:38:02,Prepaid,Yes / Ya,30,Male / Lelaki,Employed / Bekerja,4000,Bachelor's Degree / Ijazah Sarjana Muda,Married / Berkahwin,2,Urban / Bandar,10,Yes / Ya,No / Tidak,Yes / Ya,5,Rarely / Jarang,Maxis,10,25,1,2,3,No / Tidak,Yes / Ya,
5/19/2025 0:55:26,Postpaid,No / Tidak,,,,,,,,,,,,,,,,,,,,,,,
5/19/2025 0:57:03,Prepaid,Yes / Ya,24,Male / Lelaki,Employed / Bekerja,2500,Diploma / Foundation (Asasi) / STPM / SKM / Matriculation (Matrikulasi) / A-Level,Single / Bujang,4,Sub-urban / Pinggir bandar,28,Yes / Ya,Yes / Ya,Yes / Ya,2,Rarely / Jarang,U Mobile,4,110,1,4,6,No / Tidak,Yes / Ya,
